# Path file - Joint configurations (radians)
# Format: joint1 joint2 joint3 joint4 joint5 joint6
-1.653000 -1.205000 1.058000 0.198000 1.190000 -0.231000
-1.650589 -1.204831 1.052935 0.189086 1.189673 -0.239371
-1.648177 -1.204662 1.047871 0.180172 1.189346 -0.247742
-1.645766 -1.204493 1.042806 0.171257 1.189019 -0.256113
-1.643354 -1.204325 1.037741 0.162343 1.188692 -0.264485
-1.640943 -1.204156 1.032676 0.153429 1.188365 -0.272856
-1.638532 -1.203987 1.027612 0.144515 1.188038 -0.281227
-1.636120 -1.203818 1.022547 0.135600 1.187711 -0.289598
-1.633709 -1.203649 1.017482 0.126686 1.187384 -0.297969
-1.631297 -1.203480 1.012417 0.117772 1.187058 -0.306340
-1.628886 -1.203311 1.007353 0.108858 1.186731 -0.314711
-1.626475 -1.203143 1.002288 0.099943 1.186404 -0.323083
-1.624063 -1.202974 0.997223 0.091029 1.186077 -0.331454
-1.621652 -1.202805 0.992158 0.082115 1.185750 -0.339825
-1.619240 -1.202636 0.987094 0.073201 1.185423 -0.348196
-1.616829 -1.202467 0.982029 0.064286 1.185096 -0.356567
-1.614418 -1.202298 0.976964 0.055372 1.184769 -0.364938
-1.612006 -1.202129 0.971899 0.046458 1.184442 -0.373309
-1.609595 -1.201960 0.966835 0.037544 1.184115 -0.381681
-1.607183 -1.201792 0.961770 0.028629 1.183788 -0.390052
-1.604772 -1.201623 0.956705 0.019715 1.183461 -0.398423
-1.602360 -1.201454 0.951640 0.010801 1.183134 -0.406794
-1.599949 -1.201285 0.946576 0.001887 1.182807 -0.415165
-1.597538 -1.201116 0.941511 -0.007028 1.182480 -0.423536
-1.595126 -1.200947 0.936446 -0.015942 1.182153 -0.431907
-1.592715 -1.200778 0.931381 -0.024856 1.181826 -0.440279
-1.590303 -1.200610 0.926317 -0.033770 1.181499 -0.448650
-1.587892 -1.200441 0.921252 -0.042685 1.181173 -0.457021
-1.585481 -1.200272 0.916187 -0.051599 1.180846 -0.465392
-1.583069 -1.200103 0.911122 -0.060513 1.180519 -0.473763
-1.580658 -1.199934 0.906058 -0.069427 1.180192 -0.482134
-1.578246 -1.199765 0.900993 -0.078342 1.179865 -0.490506
-1.575835 -1.199596 0.895928 -0.087256 1.179538 -0.498877
-1.573424 -1.199428 0.890863 -0.096170 1.179211 -0.507248
-1.571012 -1.199259 0.885799 -0.105084 1.178884 -0.515619
-1.568601 -1.199090 0.880734 -0.113999 1.178557 -0.523990
-1.566189 -1.198921 0.875669 -0.122913 1.178230 -0.532361
-1.563778 -1.198752 0.870604 -0.131827 1.177903 -0.540732
-1.561367 -1.198583 0.865540 -0.140741 1.177576 -0.549104
-1.558955 -1.198414 0.860475 -0.149656 1.177249 -0.557475
-1.556544 -1.198245 0.855410 -0.158570 1.176922 -0.565846
-1.554132 -1.198077 0.850345 -0.167484 1.176595 -0.574217
-1.551721 -1.197908 0.845281 -0.176398 1.176268 -0.582588
-1.549310 -1.197739 0.840216 -0.185313 1.175941 -0.590959
-1.546898 -1.197570 0.835151 -0.194227 1.175614 -0.599330
-1.544487 -1.197401 0.830086 -0.203141 1.175288 -0.607702
-1.542075 -1.197232 0.825022 -0.212055 1.174961 -0.616073
-1.539664 -1.197063 0.819957 -0.220970 1.174634 -0.624444
-1.537253 -1.196895 0.814892 -0.229884 1.174307 -0.632815
-1.534841 -1.196726 0.809827 -0.238798 1.173980 -0.641186
-1.532430 -1.196557 0.804763 -0.247712 1.173653 -0.649557
-1.530018 -1.196388 0.799698 -0.256627 1.173326 -0.657928
-1.527607 -1.196219 0.794633 -0.265541 1.172999 -0.666300
-1.525195 -1.196050 0.789568 -0.274455 1.172672 -0.674671
-1.522784 -1.195881 0.784504 -0.283369 1.172345 -0.683042
-1.520373 -1.195713 0.779439 -0.292284 1.172018 -0.691413
-1.517961 -1.195544 0.774374 -0.301198 1.171691 -0.699784
-1.514461 -1.196128 0.771528 -0.308923 1.166514 -0.708448
-1.510961 -1.196712 0.768682 -0.316648 1.161337 -0.717112
-1.507461 -1.197296 0.765836 -0.324373 1.156160 -0.725775
-1.503961 -1.197880 0.762990 -0.332098 1.150982 -0.734439
-1.500461 -1.198464 0.760144 -0.339822 1.145805 -0.743103
-1.496961 -1.199048 0.757298 -0.347547 1.140628 -0.751767
